Feature,Importance,Std_Dev
YearsSinceLastPromotion,0.03987485779294653,0.0033114401769801897
TotalWorkingYears,0.038054607508532415,0.0033406249965929487
JobSatisfaction,0.03714448236632537,0.00335608646188851
TrainingTimesLastYear,0.02963594994311718,0.0032122429814551794
RelationshipSatisfaction,0.026734926052332176,0.00444269037309821
StockOptionLevel_1,0.02263936291240044,0.002864545691015745
YearsAtCompany,0.02258248009101249,0.003908392124300765
EnvironmentSatisfaction,0.021103526734926048,0.00398545257237847
Department_Sales,0.018714448236632507,0.003301654575866082
YearsInCurrentRole,0.01865756541524457,0.003631601751879948
Department_Research & Development,0.0154721274175199,0.0032258127141656136
EducationField_Medical,0.015073947667804299,0.001890872598247377
EducationField_Life Sciences,0.01405005688282136,0.0032283193682964046
NumCompaniesWorked,0.013026166097838443,0.003436117931863253
BusinessTravel_Travel_Rarely,0.010637087599544936,0.00164960182025028
YearsWithCurrManager,0.010523321956769072,0.0023625210076558753
MaritalStatus_Married,0.009897610921501687,0.003169144090371809
DistanceFromHome,0.009670079635949947,0.0031773014889121473
PercentSalaryHike,0.008589306029579103,0.0016960240632395381
Age,0.008304891922639357,0.0019070596830762598
MonthlyRate,0.0071103526734926144,0.0015525988696196058
DailyRate,0.006200227531285551,0.0018942919004945175
HourlyRate,0.006143344709897613,0.0021705101283662196
Education_3,0.005062571103526747,0.0013083048919226576
StockOptionLevel_0,0.005005688282138776,0.001758774156284462
MaritalStatus_Single,0.0036405005688281977,0.0011712889807721334
